target,Sales_Change,Employee_Change,Civilian_labor_force_2019,Median_Household_Income_2018,Location Employee Size Actual,Location Sales Volume Actual,Years In Database,Square Footage,Credit Score Alpha,Grocery_within_Zip,Supermarket_within_5_miles,Google_Scores,Google_Reviews,County_Atlantic,County_Bergen,County_Burlington,County_Camden,County_Cape May,County_Cumberland,County_Essex,County_Gloucester,County_Hudson,County_Hunterdon,County_Mercer,County_Middlesex,County_Monmouth,County_Morris,County_Ocean,County_Passaic,County_Salem,County_Somerset,County_Sussex,County_Union,County_Warren
0,0.0,0.0,482038,100181,4,1010000.0,10,1999.5,2,21,25,4.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.16,-0.25,482038,100181,2,505000.0,13,1999.5,1,6,29,4.1,340.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.16,-0.25,276382,80737,2,481000.0,10,1999.5,1,50,25,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.12,0.0,56060,77571,1,235000.0,10,1999.5,0,4,3,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-0.16,-0.25,242208,71959,2,416000.0,10,1999.5,1,250,29,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.12,0.0,256698,112396,2,529000.0,12,750.0,1,60,13,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.0,0.0,202885,79979,2,2459000.0,11,750.0,0,7,4,4.4,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0.12,0.0,202885,79979,5,1173000.0,12,1999.5,2,30,13,4.4,20.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1.25,1.0,242208,71959,3,623000.0,19,750.0,2,56,12,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.24,0.0,242208,71959,2,416000.0,12,750.0,1,35,17,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,-0.72,0.0,242208,71959,1,55000.0,18,750.0,0,37,18,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.49,0.0,256698,112396,3,3777000.0,18,750.0,1,2,8,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,3.22,2.75,361189,73337,2,461000.0,10,1999.5,1,149,59,4.4,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0.0,171371,119731,6,6787000.0,17,750.0,2,81,10,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.0,0.0,439073,87666,7,1603000.0,8,3749.5,2,98,12,1.8,9.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.67,0.67,202885,79979,3,704000.0,18,1999.5,2,50,6,4.4,20.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0.0,0.0,368748,62875,1,243000.0,22,750.0,0,78,25,4.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0.0,171371,119731,2,459000.0,14,3749.5,1,13,0,4.1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,7.12,0.0,171371,119731,2,459000.0,9,1999.5,1,24,3,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.0,0.0,361189,73337,2,461000.0,8,1999.5,1,149,59,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0.0,368748,62875,2,486000.0,10,1999.5,1,108,17,5.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
