target,Company Name,Address,City,ZIP Code,Metro Area,Sales_Change,Employee_Change,County,Civilian_labor_force_2019,Median_Household_Income_2018,Location Employee Size Actual,Location Sales Volume Actual,Years In Database,Square Footage,Credit Score Alpha,Grocery_within_Zip,Supermarket_within_5_miles,Google_Scores,Google_Reviews
0,Food Express Inc,57 Franklin St,Elmwood Park,7407,"Nw Yrk, NY-NJ-PA",0.0,0.0,Bergen,482038,100181,4,1010000.0,10,1999.5,2,21,25,4.0,4.0
0,George Pandel Grocery,134 Vreeland Ave,Leonia,7605,"Nw Yrk, NY-NJ-PA",-0.16,-0.25,Bergen,482038,100181,2,505000.0,13,1999.5,1,6,29,4.1,340.0
0,J & A Food Market,29 W Main St,Rahway,7065,"Nw Yrk, NY-NJ-PA",-0.16,-0.25,Union,276382,80737,2,481000.0,10,1999.5,1,50,25,4.4,20.0
0,Hoser Farm,664 S Main St,Stewartsville,8886,"Allen-Bth-Est,PA",0.12,0.0,Warren,56060,77571,1,235000.0,10,1999.5,0,4,3,4.4,20.0
0,Abel Mini Market,187 Parker Ave,Passaic,7055,"Nw Yrk, NY-NJ-PA",-0.16,-0.25,Passaic,242208,71959,2,416000.0,10,1999.5,1,250,29,4.4,20.0
0,Market Safety Research,18 Jagged Rock Rd,Parsippany,7054,"Nw Yrk, NY-NJ-PA",0.12,0.0,Morris,256698,112396,2,529000.0,12,750.0,1,60,13,4.4,20.0
0,Yash Auto Svc,325 Princeton Hightstown Rd,East Windsor,8512,"Trenton, NJ",0.0,0.0,Mercer,202885,79979,2,2459000.0,11,750.0,0,7,4,4.4,9.0
0,Deutsch Enterprises,14 Blue Devil Ln,Trenton,8619,"Trenton, NJ",0.12,0.0,Mercer,202885,79979,5,1173000.0,12,1999.5,2,30,13,4.4,20.0
0,Metropolitan Food Systems,401 Hamburg Tpke # 210,Wayne,7470,"Nw Yrk, NY-NJ-PA",1.25,1.0,Passaic,242208,71959,3,623000.0,19,750.0,2,56,12,4.4,20.0
0,Optimal Trip,6 Casson Ln,North Haledon,7508,"Nw Yrk, NY-NJ-PA",0.24,0.0,Passaic,242208,71959,2,416000.0,12,750.0,1,35,17,4.4,20.0
0,Punto Fijo Deli & Grocery Inc,333 Grand St,Paterson,7505,"Nw Yrk, NY-NJ-PA",-0.72,0.0,Passaic,242208,71959,1,55000.0,18,750.0,0,37,18,4.4,20.0
0,Himi Inc,326 US Highway 46,Mountain Lakes,7046,"Nw Yrk, NY-NJ-PA",0.49,0.0,Morris,256698,112396,3,3777000.0,18,750.0,1,2,8,4.4,20.0
0,Mar Brothers,5208 Palisade Ave,West New York,7093,"Nw Yrk, NY-NJ-PA",3.22,2.75,Hudson,361189,73337,2,461000.0,10,1999.5,1,149,59,4.4,20.0
0,Franklin Food Mart,650 Franklin Blvd,Somerset,8873,"Nw Yrk, NY-NJ-PA",0.0,0.0,Somerset,171371,119731,6,6787000.0,17,750.0,2,81,10,1.0,1.0
0,7-Eleven,365 New Brunswick Ave,Perth Amboy,8861,"Nw Yrk, NY-NJ-PA",0.0,0.0,Middlesex,439073,87666,7,1603000.0,8,3749.5,2,98,12,1.8,9.0
0,Herrera Mini Market,808 Stuyvesant Ave,Trenton,8618,"Trenton, NJ",0.67,0.67,Mercer,202885,79979,3,704000.0,18,1999.5,2,50,6,4.4,20.0
0,Marina's Food Store,67 Franklin St # 14,Bloomfield,7003,"Nw Yrk, NY-NJ-PA",0.0,0.0,Essex,368748,62875,1,243000.0,22,750.0,0,78,25,4.0,4.0
0,Great Wall Supermarket,3151 State Route 27 # A,Franklin Park,8823,"Nw Yrk, NY-NJ-PA",0.0,0.0,Somerset,171371,119731,2,459000.0,14,3749.5,1,13,0,4.1,7.0
0,Sultan Foods Inc,115 Stryker Ln # 4,Hillsborough,8844,"Nw Yrk, NY-NJ-PA",7.12,0.0,Somerset,171371,119731,2,459000.0,9,1999.5,1,24,3,4.4,20.0
